NTFC_SN,area_ha,n_seo,n_nat,d_seo,d_nat
11000NTC201706088160,1.3245721077898145,2.0,0.0,1.50992157258785,0.0
11530NTC202405200001,0.8429768842321661,19.0,14.0,22.539170830652537,16.607810085743974
11000NTC202412170003,14.591220656961587,1148.0,2.0,78.677447691964,0.1370687242020279
11440NTC202309250005,0.18134566614164851,8.0,6.0,44.11464674182633,33.08598505636975
11440NTC202309050007,0.47752066347810235,26.0,19.0,54.447905585120886,39.78885408143449
11470NTC202406040001,9.83519015404295,277.0,261.0,28.164173306413772,26.537361851891678
11000NTC201305166832,1.0804643226299073,2.0,1.0,1.8510560303665504,0.9255280151832752
11230NTC202304250007,0.702673193603074,21.0,0.0,29.885870403450284,0.0
11000NTC201111176310,20.751300563389176,24.0,9.0,1.1565540158163579,0.4337077559311342
11000NTC201107146172,6.711140853845673,82.0,2.0,12.218488895671396,0.29801192428466816
11140NTC202302230008,2.830962487706341,140.0,113.0,49.453145567262055,39.91575320786151
11110NTC201910100003,1.0961480121472178,126.0,0.0,114.9479802031312,0.0
11000NTC199309274074,6.337925509940919,24.0,14.0,3.7867280015134988,2.208924667549541
11560NTC202102150003,2.7059412468923796,208.0,1.0,76.86789217573597,0.3695571739218076
11230NTC201905210001,5.515896870550785,380.0,1.0,68.89178839234815,0.18129417997986352
11000NTC201807260001,2.227648567929422,80.0,40.0,35.9123073323721,17.95615366618605
11000NTC201507307550,18.109966217076483,656.0,3.0,36.223148742344755,0.16565464363877175
11000NTC201709228288,1.5589012130254993,86.0,0.0,55.167062082844936,0.0
11140NTC202109170002,1.8596854687949105,151.0,92.0,81.1965262587383,49.47073123048956
11000NTC197608261728,2.541765788741523,53.0,33.0,20.85164582620388,12.983100231409965
11000NTC201903210030,2.4457349484103084,8.0,0.0,3.2710004022307824,0.0
11380NTC202408050002,3.7249105615537244,212.0,167.0,56.91411820410828,44.83329122682114
11230NTC202306010006,3.5291343042909227,275.0,5.0,77.92279247226135,1.4167780449502063
11000NTC198411176431,3.541431422817824,18.0,9.0,5.082690542593614,2.541345271296807
11290NTC201905080009,7.531168432932894,391.0,153.0,51.91757474048834,20.315572724538917
,12.456302157038701,199.0,0.0,15.975848810599924,0.0
11140NTC202306290001,6.38796941349548,747.0,451.0,116.93856868222599,70.60146516155812
11000NTC200510209017,1.1729801271142084,9.0,0.0,7.672764262547226,0.0
11000NTC201801180003,5.515065724560644,81.0,40.0,14.687041650161447,7.2528600741538005
11000NTC200908063690,8.397121579294353,27.0,3.0,3.2153875283378865,0.35726528092643184
11000NTC200903303096,3.8109189343148997,25.0,17.0,6.5600975593815205,4.460866340379434
11000NTC197706302062,0.7859233421629491,4.0,1.0,5.089554903651992,1.272388725912998
11380NTC202008310004,12.087202690240458,45.0,1.0,3.7229457595125997,0.08273212798916887
11000NTC200908133698,6.6783312481992745,81.0,1.0,12.128778431264637,0.14973800532425477
11000NTC200702260766,17.390191201278896,71.0,65.0,4.082761320920875,3.737739237462773
11000NTC201003314693,5.511370135144384,29.0,19.0,5.261849465539529,3.4474186153534845
11000NTC200912244313,1.2272181101343171,145.0,78.0,118.15340631188207,63.55838408501242
11000NTC201502057397,4.39241722064444,26.0,8.0,5.919291973858844,1.8213206073411825
11000NTC202504150001,13.199229995360854,496.0,386.0,37.57794963602647,29.244130160294787
11000NTC198609308227,8.921593096485411,52.0,25.0,5.828555442691617,2.802190116678662
11000NTC198605207848,4.378426598542854,11.0,11.0,2.5123180102324465,2.5123180102324465
11000NTC201104076042,11.466902269028928,39.0,5.0,3.4010929094020006,0.436037552487436
11590NTC202505090002,7.2870222028938905,366.0,218.0,50.226277594522855,29.916198130070992
11000NTC200405106198,0.8043036702501474,15.0,8.0,18.64967244938076,9.946491973003072
11000NTC200203222245,0.6616205814166385,3.0,1.0,4.534320854373222,1.511440284791074
11230NTC202212050003,2.459265307501843,197.0,125.0,80.10522467790001,50.82818824739849
11000NTC201108116201,2.312364512015029,2.0,1.0,0.8649155397464433,0.43245776987322165
11000NTC198805039765,0.6132408917456899,6.0,4.0,9.784083352497948,6.522722234998632
11000NTC199309254070,1.1633456300624807,10.0,5.0,8.595897677857716,4.297948838928858
11000NTC200010219939,1.7786120221555575,13.0,10.0,7.309070127753257,5.622361636733275
11000NTC198512137443,36.56721043392521,614.0,512.0,16.790999168762454,14.00161494202993
11410NTC202502240001,4.408382372374624,326.0,0.0,73.95002802907872,0.0
11000NTC198804159720,9.636554000372474,186.0,16.0,19.30150549592839,1.6603445587895387
11000NTC201107296193,6.14195097738429,28.0,23.0,4.558812029451353,3.744738452763612
11000NTC201511267653,3.103270324452422,133.0,1.0,42.85801302967962,0.3222406994712753
11000NTC200609290410,1.9289616833279872,23.0,10.0,11.92351315155141,5.184136152848438
11290NTC202008200003,8.894752827760735,51.0,2.0,5.733717505991598,0.2248516669016313
11000NTC200510209017,1.1729801271142084,9.0,0.0,7.672764262547226,0.0
11000NTC201801180003,5.515065724560644,81.0,40.0,14.687041650161447,7.2528600741538005
11000NTC202508180001,4.5863520992251665,170.0,83.0,37.066495620499865,18.097171391185228
11000NTC197911223505,5.11123230888707,61.0,13.0,11.934499610580655,2.5434179497958773
11440NTC202102090001,6.209847623579648,396.0,5.0,63.76968067563097,0.8051727358034213
11000NTC201804190001,10.204952450408245,550.0,24.0,53.895400558970515,2.3517992971187134
11110NTC202101060007,1.270579163323403,42.0,8.0,33.0557915731455,6.296341252027714
11000NTC202012010001,0.21605612839179258,11.0,6.0,50.912696075219785,27.770561495574427
11000NTC198809240057,2.2236226384216216,19.0,9.0,8.544615292047322,4.047449348864521
11000NTC200711221590,2.727733459506732,7.0,7.0,2.5662331396799454,2.5662331396799454
11000NTC201103256029,1.3936375902285651,15.0,7.0,10.763199920246057,5.0228266294481605
11000NTC199812298456,5.946182990443413,36.0,28.0,6.05430409017995,4.708903181251072
11000NTC198707219009,3.7534374054172908,38.0,20.0,10.12405320657674,5.328449056093021
11500NTC202404030006,3.506493439063348,151.0,136.0,43.0629637910673,38.7851859310275
11000NTC200701150696,3.6461841441168437,26.0,18.0,7.130742434375201,4.936667839182832
11230NTC202302060002,1.1267120054032576,98.0,55.0,86.9787483669575,48.814603675333295
11000NTC202204270002,27.231860718600103,1798.0,890.0,66.02560209085959,32.68230581805619
11470NTC202307050003,10.56806766158627,178.0,1.0,16.843192691414142,0.09462467804165249
11000NTC200704200954,7.776123948113892,30.0,28.0,3.8579631960826104,3.600765649677103
11000NTC200705100990,0.11214364850109876,2.0,1.0,17.834269053413262,8.917134526706631
11440NTC202204210002,5.1887916143225254,68.0,3.0,13.105170732295523,0.5781692970130378
11000NTC202407080002,0.5800979842479577,33.0,0.0,56.88694133764555,0.0
11000NTC201407247268,1.3947931365751725,153.0,0.0,109.69368574302133,0.0
11140NTC202012150005,0.3697497104786165,13.0,9.0,35.1589186727756,24.340789850383107
11290NTC202508180006,4.404727866304728,314.0,218.0,71.28703736774209,49.49227435085279
11000NTC200708021331,4.288330402140382,12.0,11.0,2.7982918466381665,2.5651008594183193
11230NTC202304250007,0.702673193603074,21.0,0.0,29.885870403450284,0.0
11290NTC202305090006,3.673678740569531,150.0,140.0,40.83100635434047,38.1089392640511
11000NTC201509247601,0.9723529551368718,23.0,0.0,23.65396215283003,0.0
11290NTC201905080009,7.531168432932894,391.0,153.0,51.91757474048834,20.315572724538917
11000NTC198804159720,9.636554000372474,186.0,16.0,19.30150549592839,1.6603445587895387
11000NTC198804159720,0.522312600699711,14.0,4.0,26.80387182167353,7.658249091906722
11140NTC202502140001,1.2446297795836778,84.0,1.0,67.48994872041192,0.8034517704810942
11000NTC201507307550,18.109966217076483,656.0,3.0,36.223148742344755,0.16565464363877175
11000NTC201709228288,1.5589012130254993,86.0,0.0,55.167062082844936,0.0
11230NTC202309270012,2.8975864215833464,253.0,136.0,87.31404803510627,46.93561475404922
11000NTC201008055256,3.5613163209650223,109.0,92.0,30.60666062105483,25.83314474437655
11440NTC202410140001,0.32728329697984837,9.0,0.0,27.499111879681877,0.0
11560NTC202507080015,1.4968771612283946,56.0,34.0,37.411219471104936,22.71395467888514
11000NTC201612017953,0.30068187172489336,4.0,0.0,13.303096648472943,0.0
11590NTC202003200001,2.667439371513072,186.0,135.0,69.72979479360905,50.610334930845276
11000NTC201809200003,0.16090994154049282,8.0,0.0,49.71725129852719,0.0
11000NTC197312011134,3.5359376823459265,48.0,1.0,13.574899874410196,0.28281041405021246
11000NTC200304014039,2.4481558737510416,10.0,9.0,4.084707230948531,3.6762365078536785
11140NTC202504070004,0.08231672725230954,5.0,3.0,60.74099599069904,36.44459759441942
11000NTC199904068649,8.857062421160979,48.0,40.0,5.419404054929104,4.5161700457742535
11140NTC202002030001,0.009813423922603532,1.0,1.0,101.90123323793973,101.90123323793973
11000NTC202505210005,7.733710191628774,372.0,292.0,48.101104228429094,37.75678073844434
11000NTC200301223761,0.405961955872787,6.0,3.0,14.779710052141366,7.389855026070683
11000NTC200311055121,11.379674468185275,73.0,59.0,6.414946245087217,5.184682581645832
11110NTC201910100003,1.0961480121472178,126.0,0.0,114.9479802031312,0.0
11000NTC199309274074,6.337925509940919,24.0,14.0,3.7867280015134988,2.208924667549541
11560NTC202102150003,2.7059412468923796,208.0,1.0,76.86789217573597,0.3695571739218076
11000NTC198307025356,3.197006358613831,15.0,10.0,4.6918893231428385,3.1279262154285594
11000NTC200703020788,0.5986592095810365,4.0,4.0,6.6815977036406835,6.6815977036406835
11000NTC200312055319,11.34557551321149,54.0,37.0,4.759564637079808,3.261183177258387
11000NTC201104146050,0.6502015164701312,4.0,0.0,6.151938896906204,0.0
11290NTC202103190001,1.5659675166013098,83.0,1.0,53.002376562790175,0.6385828501540985
11000NTC200901082656,9.578770969454753,702.0,0.0,73.28706388727441,0.0
11560NTC202306160002,2.7691971567792133,114.0,65.0,41.16716634672219,23.472507127517037
11110NTC202202030004,3.7440007508655655,244.0,137.0,65.17092710079994,36.591873003318
11000NTC200812262559,1.8690309525105235,62.0,47.0,33.17227032367775,25.14672105182023
11000NTC201009305435,0.19349835084239994,1.0,1.0,5.168002702072006,5.168002702072006
11530NTC202506110005,8.351355020280197,476.0,368.0,56.99673871414817,44.064705560517915
11000NTC202504150002,11.421313133631081,459.0,353.0,40.18802344613364,30.90712914266923
11000NTC202504150001,13.199229995360854,496.0,386.0,37.57794963602647,29.244130160294787
11000NTC198507117079,1.5019106125865476,11.0,4.0,7.324004443284487,2.6632743430125405
11000NTC201904023250,10.203680059092237,549.0,24.0,53.804117418479834,2.352092564742288
11000NTC201903183010,3.5081968938571952,256.0,1.0,72.9719590277993,0.285046714952341
11320NTC202305230007,1.497545353006537,45.0,35.0,30.049173408775932,23.37157931793684
11290NTC202503050004,3.3231988435237247,155.0,108.0,46.6418072761626,32.498807650487485
11000NTC200604069911,7.699563877454643,89.0,33.0,11.559096257465173,4.28595703928484
11620NTC202003160006,2.8288768143851986,384.0,0.0,135.74292031639948,0.0
11000NTC198807059880,3.181642296441541,101.0,0.0,31.74461192980804,0.0
11410NTC202112160002,1.0961866100868924,9.0,0.0,8.210280911282604,0.0
11000NTC201206076507,0.495922865977294,1.0,1.0,2.0164426135692346,2.0164426135692346
11000NTC201803158392,0.40865370250466865,1.0,1.0,2.447059683714907,2.447059683714907
11000NTC200704020895,1.7657023501901037,8.0,8.0,4.5307749628008835,4.5307749628008835
11000NTC201908160006,6.128426304277949,60.0,1.0,9.790441627423503,0.16317402712372503
11140NTC202009230003,0.205243830301807,13.0,0.0,63.33929736588796,0.0
11000NTC199601245791,4.858641376400358,32.0,8.0,6.586203327422361,1.6465508318555901
,11.500234170746653,870.0,618.0,75.65063346388496,53.73803618469069
11000NTC198609138187,2.25269772339195,121.0,106.0,53.713376075067416,47.05469309055493
11000NTC202202210006,9.139041775276015,77.0,32.0,8.425390964762766,3.5014611801611495
11000NTC198711169299,1.5621814839781996,9.0,9.0,5.7611744168679415,5.7611744168679415
11000NTC197511131497,0.7127777093687948,21.0,19.0,29.462200801139943,26.65627691531709
11000NTC200705251057,8.030267700683494,137.0,50.0,17.060452416591204,6.226442487807009
11170NTC202301300007,1.4056520423656516,63.0,42.0,44.81905770504465,29.8793718033631
11000NTC199309184061,3.516165719790564,21.0,11.0,5.9724147476333505,3.1284077249508027
11410NTC202408260001,0.17928192228585207,11.0,7.0,61.355879386775506,39.04465051885714
11305NTC202406050002,1.7716265697919957,133.0,115.0,75.07225408998882,64.91209940111814
11440NTC202204110004,0.45739708545703545,25.0,0.0,54.65710384887951,0.0
11000NTC198507157091,3.089082778429301,9.0,7.0,2.913486185234638,2.2660448107380518
11000NTC200105230756,4.808843694982392,27.0,26.0,5.614655354294867,5.40670515598765
11000NTC201110136271,2.400529929336024,101.0,0.0,42.07404322092171,0.0
11000NTC199410114802,16.795806249944306,272.0,56.0,16.19451879548217,3.3341656343639765
11000NTC200811282407,5.031047711793214,18.0,2.0,3.577783601178425,0.3975315112420472
11440NTC202102090001,6.209847623579648,396.0,5.0,63.76968067563097,0.8051727358034213
11000NTC202312120005,7.099749988090388,330.0,277.0,46.48050995507797,39.015458356232116
11110NTC202202030004,0.5773541940412368,1.0,1.0,1.7320390330940876,1.7320390330940876
,0.6777670576285902,49.0,40.0,72.29622544867254,59.01732689687555
11410NTC201908160001,5.877771191760322,92.0,2.0,15.652191451237336,0.34026503154863774
11140NTC202009230003,0.205243830301807,13.0,0.0,63.33929736588796,0.0
11000NTC201101205876,2.366583115449646,548.0,0.0,231.5574705247067,0.0
11000NTC201403137120,4.1674517306109715,182.0,0.0,43.671771568021924,0.0
11000NTC200306214448,20.28356922426168,92.0,58.0,4.535690882744469,2.859457295643252
11000NTC200210213236,6.0468194881112,40.0,31.0,6.615047807966648,5.1266620511741525
11000NTC200905203327,3.0922571948286084,24.0,16.0,7.761320772456065,5.174213848304044
11000NTC199405274523,6.288465352024127,81.0,40.0,12.880726133591207,6.3608524116499785
11290NTC202504170005,2.6929842728118043,208.0,112.0,77.23773291212822,41.58954849114597
11170NTC202405300002,11.344762098708076,1025.0,614.0,90.3500656145734,54.121892963266404
11590NTC202505190004,14.17974105697015,668.0,483.0,47.10946393986793,34.06268126191049
11000NTC199904088655,6.796534909795597,41.0,34.0,6.032485751071211,5.002549159424906
11000NTC201304256819,6.032816972901041,456.0,2.0,75.58657954456726,0.3315200857217862
11000NTC201511267653,3.103270324452422,133.0,1.0,42.85801302967962,0.3222406994712753
11290NTC202008200003,8.894752827760735,51.0,2.0,5.733717505991598,0.2248516669016313
11440NTC202407090002,0.556208216825753,41.0,1.0,73.71340221110817,1.7978878588075164
11000NTC201906271010,8.697452577700776,735.0,39.0,84.5075030227186,4.484071588960578
11000NTC201807260001,2.227648567929422,80.0,40.0,35.9123073323721,17.95615366618605
11110NTC202202030004,1.8826608404398437,71.0,49.0,37.712581297124316,26.02699272618439
11110NTC202202030004,1.1891175356269381,69.0,47.0,58.026223592456866,39.525108823847425
11110NTC202202030004,0.11615986403248321,1.0,1.0,8.60882550379327,8.60882550379327
11000NTC197511131497,0.9789317307609299,56.0,1.0,57.20521486873333,1.0215216940845238
11000NTC201110276292,1.133372918090741,14.0,0.0,12.352509731381389,0.0
11230NTC202405200005,4.158358938818193,187.0,5.0,44.96966297314043,1.202397405698942
11740NTC202402260001,2.467414333554307,157.0,134.0,63.62936206739211,54.30786316579963
11000NTC201904023220,6.661113684731002,90.0,1.0,13.511254162543917,0.15012504625048798
11290NTC202103190001,1.5659675166013098,83.0,1.0,53.002376562790175,0.6385828501540985
11000NTC202012010001,0.2932926715498251,12.0,6.0,40.9147625018698,20.4573812509349
11000NTC202012010001,0.0900687628377093,4.0,1.0,44.41051341192965,11.102628352982412
11000NTC202012010001,0.2557111936044705,8.0,8.0,31.285294504448864,31.285294504448864
11000NTC202204270002,27.231860718600103,1798.0,890.0,66.02560209085959,32.68230581805619
11000NTC202306180001,7.739423675348228,422.0,3.0,54.52602386197865,0.3876257620519809
11230NTC202303210002,5.328311551619084,435.0,0.0,81.6393703307043,0.0
11000NTC200506028340,2.0620146294146693,21.0,10.0,10.184214845246338,4.84962611678397
11000NTC200903193011,3.458258080256145,203.0,41.0,58.70007248995259,11.855679665458405
11000NTC199601245791,4.858641376400358,32.0,8.0,6.586203327422361,1.6465508318555901
11000NTC200506028341,2.5205363725531567,12.0,4.0,4.76089142401254,1.58696380800418
11000NTC201208026577,20.497831245211845,826.0,508.0,40.29694605827863,24.783109682331165
11000NTC201005074900,6.989670492021372,26.0,25.0,3.719774777606283,3.5767065169291183
11000NTC199310024087,5.487936733280021,23.0,13.0,4.191010413899833,2.368831973073819
11000NTC200311255250,2.1973699080500175,15.0,13.0,6.82634268588453,5.916163661099926
11000NTC201205246499,1.2578071972844898,92.0,60.0,73.14316550153396,47.70206445752214
11000NTC199707237115,7.555214894685829,62.0,38.0,8.206252352081927,5.029638538372795
11000NTC199203102932,4.541425028665869,37.0,14.0,8.147222461331584,3.082732823206545
11260NTC202009020002,1.4990354357331894,94.0,78.0,62.7069899478553,52.03345974396504
11000NTC200209233145,22.774548441393257,1263.0,201.0,55.45664289459496,8.825641505790646
11000NTC201408287286,0.7388594901463911,23.0,18.0,31.129058104732447,24.361871560225396
